2025-11-01 03:05:57,231 INFO     ----------Arguments-----------
2025-11-01 03:05:57,232 INFO     model = roberta-large
2025-11-01 03:05:57,232 INFO     mode = train
2025-11-01 03:05:57,232 INFO     temp = 0.1
2025-11-01 03:05:57,232 INFO     top_p = 0.5
2025-11-01 03:05:57,232 INFO     penal = 0.0
2025-11-01 03:05:57,232 INFO     log_dir = ./logs
2025-11-01 03:05:57,232 INFO     epoch = 3
2025-11-01 03:05:57,232 INFO     train_batch_size = 8
2025-11-01 03:05:57,232 INFO     valid_batch_size = 8
2025-11-01 03:05:57,232 INFO     lr = 0.0001
2025-11-01 03:05:57,232 INFO     train_data = mentalmanip
2025-11-01 03:05:57,232 INFO     eval_data = mentalmanip_con
2025-11-01 03:05:57,232 INFO     ------------------------------

2025-11-01 03:05:57,251 INFO     -----MentalManip Dataset Information-----
2025-11-01 03:05:57,252 INFO     Total size = 2915, manipulative:non-manipulative ratio = 2.242
2025-11-01 03:05:57,252 INFO     Train size = 1749, manipulative:non-manipulative ratio = 2.263
2025-11-01 03:05:57,253 INFO     Valid size = 583, manipulative:non-manipulative ratio = 2.257
2025-11-01 03:05:57,253 INFO     Test size = 583, manipulative:non-manipulative ratio = 2.168
2025-11-01 03:05:57,253 INFO     
2025-11-01 03:05:57,253 INFO     -----Finetuning Data Size Information-----
2025-11-01 03:05:57,253 INFO     Train size: 1749
2025-11-01 03:05:57,253 INFO     Valid size: 583
2025-11-01 03:05:57,253 INFO     Test size: 583
2025-11-01 03:05:57,253 INFO     
